name,county,acres,long,lat,year,date_end,date_start,days
Newmark Fire,Fresno,70,-119.5327,36.6543,2016,9/24/2016,9/23/2016,1.00
Lake Fire,Shasta,75,-122.4096,40.68192,2016,9/12/2016,9/10/2016,2.00
Sherwood Fire,Ventura,78,-119.39619,36.92244,2016,7/15/2016,7/13/2016,2.00
Hoag Fire,Tehama,80,-121.857,39.7947,2016,6/11/2016,6/11/2016,0.00
Baker Fire,Tehama,80,-122.26736,40.19611,2016,8/4/2016,8/3/2016,1.00
Old Fire,San Benito,83,-121.04993,36.49914,2016,6/12/2016,6/12/2016,0.00
Dunnigan Fire,Yolo,84,-122.04726,38.8866,2016,7/15/2016,7/15/2016,0.00
Tulloch Fire,Tuolumne,85,-120.528836,37.927613,2016,6/1/2016,5/30/2016,2.00
Grub Fire,Madera,85,-119.7738,37.3228,2016,8/6/2016,8/4/2016,2.00
Frazier Fire,San Luis Obispo,86,-120.82266,35.70821,2016,6/29/2016,6/27/2016,2.00
Scott Fire,Sacramento,87,-121.103642,38.517772,2016,7/11/2016,7/10/2016,1.00
Moore Fire,Placer,88,-121.37704,38.86804,2016,6/21/2016,6/21/2016,0.00
Flores Fire,Tehama,88,-122.2071,40.07846,2016,7/1/2016,7/1/2016,0.00
Santos Fire,Butte,88,-121.71662,39.79547,2016,8/30/2016,8/26/2016,4.00
Dunstone Fire,Butte,91,-121.78973,39.33035,2016,5/27/2016,5/27/2016,0.00
Mercury Fire,San Benito,95,-120.841536,5487,2016,7/10/2016,7/9/2016,1.00
Feather Fire,San Diego,100,-116.7945,32.9612,2016,7/20/2016,7/18/2016,2.00
Bradley Fire,Monterey,100,-120.81081,35.85093,2016,7/23/2016,7/22/2016,1.00
Hart Fire,Kern,100,-118.60344,35.24504,2016,8/7/2016,8/4/2016,3.00
Cow Fire,Shasta,100,-121.93923,40,2016,9/25/2016,9/25/2016,0.00
Broken Fire,Madera,103,-119.65776,37.25601,2016,7/6/2016,7/4/2016,2.00
Coal Fire,Butte,112,-121.6008,39.595,2016,6/20/2016,6/20/2016,0.00
Sierra Fire,Santa Clara,114,-121.79669,37.41896,2016,7/31/2016,7/30/2016,1.00
Coe Fire,Stanislaus,120,-121.42238,37.17072,2016,6/9/2016,6/7/2016,2.00
Green Fire,Fresno,123,-119.5792,37.0099,2016,7/16/2016,7/15/2016,1.00
Bangor Fire,Butte,130,-121.42647,39.4403,2016,9/23/2016,9/22/2016,1.00
Avocado Fire,Fresno,132,-119.38248,36.78769,2016,5/17/2016,5/15/2016,2.00
Famoso Fire,Kern,138,-118.94811,35.60748,2016,7/16/2016,7/15/2016,1.00
Temecula Fire,Riverside,139,-117.140883,33.476894,2016,6/7/2016,6/4/2016,3.00
Frame Fire,Fresno,145,-120.62048,36.14161,2016,7/7/2016,7/4/2016,3.00
Bird Fire,San Joaquin,147,-121.36665,37.62215,2016,8/20/2016,8/20/2016,0.00
Shedd Fire,San Luis Obispo,150,-120.39993,35.61961,2016,5/10/2016,5/10/2016,0.00
Holy Fire,Orange,150,-117.5221,33.6542,2016,9/5/2016,8/31/2016,5.00
Old Fire,Del Norte,150,-120.029626,37.75972,2016,9/17/2016,9/13/2016,4.00
Wheatland Fire,Los Angeles,156,-118.354,34.276,2016,5/25/2016,5/23/2016,2.00
Sunny Fire,Fresno,158,-119.34487,36.84479,2016,9/6/2016,9/3/2016,3.00
Athens Fire,Placer,169,-121.3090268,38.8390117,2016,5/19/2016,5/17/2016,2.00
Emerald Fire,El Dorado,176,-120.10744,38.93449,2016,10/17/2016,10/14/2016,3.00
Big Fire,Fresno,188,-119.39619,36.92244,2016,7/13/2016,7/11/2016,2.00
Camanche Fire,Amador,210,-120.90265,38.26874,2016,6/21/2016,6/17/2016,4.00
Grant Fire,Alameda,211,-121.58677,37.74369,2016,6/26/2016,6/25/2016,1.00
Reservoir Fire,Lake,215,-122.50373,39.12366,2016,6/28/2016,6/26/2016,2.00
Washington Fire,Santa Barbara,215,-120.55297,34.75134,2016,9/27/2016,9/22/2016,5.00
Onyx Fire,Kern,221,-118.21793,35.68313,2016,7/14/2016,7/13/2016,1.00
Tobin Fire,Plumas,248,-121.32,39.92,2016,10/6/2016,9/26/2016,10.00
Creek Fire,Yolo,277,-122.15457,38.69971,2016,6/27/2016,6/26/2016,1.00
DeWolf Fire,Fresno,278,-119.654,36.88286,2016,5/25/2016,5/25/2016,0.00
Butte Fire,Sutter,300,-121.78003,39.188321,2016,9/20/2016,9/20/2016,0.00
Fiddler Fire,Shasta,303,-122.72913,40.36873,2016,7/12/2016,7/8/2016,4.00
Havilah Fire,Kern,304,-118.5097,35.4976,2016,8/28/2016,8/28/2016,0.00
Appaloosa Fire,Calaveras,310,-120.61153,38.02845,2016,7/8/2016,7/2/2016,6.00
Hog Fire,Tehama,321,-122.1295,40.30594,2016,9/13/2016,9/13/2016,0.00
Pacheco Fire,Calaveras,341,-120.81394,38.08056,2016,7/16/2016,7/12/2016,4.00
