name,county,acres,year,date_end,date_start,month,days,total_acres_burned,total_fires
Mayberry Fire,Butte,12,2019,6/29/2019,6/29/2019,6,0,1033,9
Sage Fire,Riverside,12,2019,8/27/2019,8/27/2019,8,0,7009,32
Little Fire,Alameda,12,2019,10/8/2019,10/8/2019,10,0,533,9
Carson Fire,El Dorado,13,2019,7/31/2019,7/30/2019,7,1,3606,6
Pauma Fire,San Diego,15,2019,6/24/2019,6/10/2019,6,14,1459,16
Telephone Fire,San Bernardino,15,2019,9/6/2019,9/2/2019,9,4,634,7
Duzel Fire,Siskiyou,15,2019,9/10/2019,9/7/2019,9,3,2557,9
Nustar Fire,Contra Costa,15,2019,10/16/2019,10/15/2019,10,1,900,9
Greenstone Fire,El Dorado,16,2019,8/14/2019,8/14/2019,8,0,3606,6
Cow Fire,Shasta,16,2019,9/24/2019,9/24/2019,9,0,1040,9
32 Fire,Butte,17,2019,6/24/2019,6/15/2019,6,9,1033,9
Rocky Fire,Siskiyou,17,2019,6/17/2019,6/14/2019,6,3,2557,9
Mines Fire,Santa Clara,17,2019,6/27/2019,6/26/2019,6,1,859,11
Foster Fire,San Benito,17,2019,9/4/2019,9/4/2019,9,0,184,2
Del Fire,Stanislaus,18,2019,10/4/2019,10/3/2019,10,1,3457,7
Carroll Fire,Alameda,19,2019,8/31/2019,8/31/2019,8,0,533,9
Warren Fire,Riverside,19,2019,9/30/2019,9/30/2019,9,0,7009,32
Sobrante Fire,Riverside,19,2019,11/1/2019,11/1/2019,11,0,7009,32
Nuevo Fire,Riverside,20,2019,6/27/2019,6/27/2019,6,0,7009,32
Gibbel Fire,Riverside,20,2019,7/11/2019,7/11/2019,7,0,7009,32
Golf Fire,Lake,20,2019,8/11/2019,8/8/2019,8,3,201,5
Radio Fire,Riverside,20,2019,8/12/2019,8/12/2019,8,0,7009,32
Spring Fire,Colusa,20,2019,8/14/2019,8/14/2019,8,0,20,1
Preston Fire,Tuolumne,21,2019,8/8/2019,8/8/2019,8,0,104,2
Border Fire,San Diego,22,2019,5/19/2019,5/13/2019,5,6,1459,16
Mid Fire,Alameda,22,2019,7/12/2019,7/12/2019,7,0,533,9
Chaparral Fire,El Dorado,22,2019,9/29/2019,9/29/2019,9,0,3606,6
Willow Fire,Contra Costa,23,2019,6/11/2019,6/6/2019,6,5,900,9
Nelson Fire,Solano,24,2019,6/17/2019,6/7/2019,6,10,458,5
Fellow Fire,Contra Costa,24,2019,7/5/2019,7/5/2019,7,0,900,9
Bear Fire,Tulare,25,2019,6/11/2019,6/3/2019,6,8,1654,7
Bikeway Fire,Alameda,25,2019,7/5/2019,7/5/2019,7,0,533,9
Vista Fire,San Diego,25,2019,7/18/2019,7/17/2019,7,1,1459,16
Border 10 Fire,Mexico,25,2019,8/28/2019,8/25/2019,8,3,1532,2
Border 10 Fire,San Diego,25,2019,8/28/2019,8/25/2019,8,3,1459,16
Frame Fire,Fresno,25,2019,10/02/2019,9/30/2019,9,2,283,3
Grove Fire,Lake,25,2019,10/17/2019,10/17/2019,10,0,201,5
Foothill Fire,Riverside,26,2019,5/24/2019,5/20/2019,5,4,7009,32
La Barisa Fire,San Bernardino,26,2019,8/4/2019,8/3/2019,8,1,634,7
Watt Fire,Placer,27,2019,6/11/2019,6/7/2019,6,4,1188,5
Whiskey Fire,Calaveras,27,2019,7/20/2019,7/18/2019,7,2,94,2
Otay Fire,San Diego,28,2019,6/30/2019,6/29/2019,6,1,1459,16
Glass Fire,Lake,28,2019,9/5/2019,9/4/2019,9,1,201,5
Caliente Fire,Kern,29,2019,8/6/2019,8/5/2019,8,1,3472,6
Point Fire,Santa Clara,29,2019,10/7/2019,10/7/2019,10,0,859,11
Pilot Fire,Humboldt,30,2019,1/15/2019,1/1/2019,1,14,30,1
Mountain Fire,Alameda,30,2019,6/24/2019,6/21/2019,6,3,533,9
Ranch Fire,Shasta,30,2019,7/6/2019,7/5/2019,7,1,1040,9
Horse Fire,Shasta,30,2019,07/15/2019,7/12/2019,7,3,1040,9
Gilbert Fire,Shasta,30,2019,08/06/2019,8/4/2019,8,2,1040,9
Mare Fire,Solano,30,2019,10/03/2019,9/26/2019,9,7,458,5
Bitter Fire,San Luis Obispo,30,2019,10/11/2019,10/11/2019,10,0,5489,10
Yokohl Fire,Tulare,33,2019,6/4/2019,6/3/2019,6,1,1654,7
Heavy Range Fire,Yolo,33,2019,8/10/2019,8/10/2019,8,0,2253,2
Yucca Fire,Riverside,34,2019,8/23/2019,8/22/2019,8,1,7009,32
Redwood Fire,Riverside,34,2019,09/12/2019,9/12/2019,9,0,7009,32
Calaveras Fire,Santa Clara,35,2019,6/17/2019,6/10/2019,6,7,859,11
Rains Fire,Stanislaus,35,2019,7/18/2019,7/18/2019,7,0,3457,7
Community Fire,Siskiyou,35,2019,NA,7/27/2019,7,NA,2557,9
Patterson Fire,El Dorado,35,2019,8/16/2019,8/15/2019,8,1,3606,6
Jamieson Fire,Santa Clara,35,2019,08/25/2019,8/25/2019,8,0,859,11
Mines Fire,Alameda,35,2019,10/27/2019,10/24/2019,10,3,533,9
Miller Fire,San Diego,37,2019,10/27/2019,10/25/2019,10,2,1459,16
Far Fire,Yuba,38,2019,07/08/2019,7/6/2019,7,2,268,4
Merrill Fire,Contra Costa,40,2019,10/10/2019,10/10/2019,10,0,900,9
Plains Fire,Shasta,42,2019,10/10/2019,10/10/2019,10,0,1040,9
Palisades Fire,Los Angeles,42,2019,10/31/2019,10/21/2019,10,10,15932,6
Ardo Fire,Monterey,43,2019,6/17/2019,6/12/2019,6,5,3720,7
Flood Fire,San Joaquin,44,2019,9/5/2019,9/5/2019,9,0,417,3
Diversion Fire,Riverside,45,2019,6/3/2019,5/30/2019,5,4,7009,32
Paskenta Fire,Tehama,46,2019,6/24/2019,6/22/2019,6,2,17505,9
Lower Fire,Shasta,46,2019,8/13/2019,8/12/2019,8,1,1040,9
Springs Fire,Tulare,47,2019,6/11/2019,6/10/2019,6,1,1654,7
Aborn Fire,Santa Clara,47,2019,7/15/2019,7/15/2019,7,0,859,11
Meridian Fire,Butte,50,2019,5/8/2019,5/1/2019,5,7,1033,9
Ink Fire,Napa,50,2019,6/17/2019,6/8/2019,6,9,640,3
Prairie Fire,Sacramento,50,2019,8/2/2019,8/2/2019,8,0,134,2
Forest Fire,Contra Costa,50,2019,10/28/2019,10/27/2019,10,1,900,9
Copper Fire,San Diego,50,2019,11/01/2019,10/31/2019,10,1,1459,16
Willow Fire,San Diego,52,2019,9/25/2019,9/25/2019,9,0,1459,16
Ranch Fire,San Luis Obispo,52,2019,10/24/2019,10/1/2019,10,23,5489,10
Oak Fire,Lake,53,2019,9/8/2019,9/7/2019,9,1,201,5
66 Fire,Riverside,55,2019,6/24/2019,5/29/2019,5,26,7009,32
Horse Fire,Lassen,55,2019,10/16/2019,10/13/2019,10,3,7977,10
Sellers Fire,Contra Costa,58,2019,09/26/2019,8/7/2019,8,50,900,9
Forbestown Fire,Butte,58,2019,9/12/2019,9/6/2019,9,6,1033,9
Bayliss Fire,Santa Clara,60,2019,08/17/2019,8/15/2019,8,2,859,11
Cabrillo Fire,San Mateo,62,2019,10/27/2019,10/24/2019,10,3,62,1
Paskenta Fire,Tehama,63,2019,5/24/2019,5/20/2019,5,4,17505,9
Elk Fire,Glenn,63,2019,10/4/2019,10/3/2019,10,1,63,1
Canyon Fire,Napa,64,2019,08/02/2019,7/22/2019,7,11,640,3
Sugar Fire,Placer,65,2019,5/24/2019,5/10/2019,5,14,1188,5
Jolon Fire,Monterey,66,2019,9/2/2019,9/1/2019,9,1,3720,7
Lynette Fire,Calaveras,67,2019,09/22/2019,9/22/2019,9,0,94,2
Muir Fire,Marin,67,2019,11/21/2019,10/24/2019,10,28,67,1
Corning Fire,Tehama,68,2019,10/9/2019,10/9/2019,10,0,17505,9
Levee Fire,Yuba,70,2019,6/17/2019,6/8/2019,6,9,268,4
Coyote Fire,Santa Clara,74,2019,7/2/2019,7/2/2019,7,0,859,11
Wolf Fire,Riverside,75,2019,10/12/2019,10/10/2019,10,2,7009,32
Johnson Fire,Riverside,75,2019,10/16/2019,10/14/2019,10,2,7009,32
Eagle Fire,Lake,75,2019,11/6/2019,11/5/2019,11,1,201,5
Scott Fire,Yuba,80,2019,6/25/2019,6/25/2019,6,0,268,4
Scott Fire,Yuba,80,2019,6/24/2019,6/24/2019,6,0,268,4
Lincoln Fire,Riverside,80,2019,7/17/2019,7/12/2019,7,5,7009,32
Sweigert Fire,Santa Clara,80,2019,08/02/2019,7/24/2019,7,9,859,11
Border 9 Fire,San Diego,80,2019,8/16/2019,8/15/2019,8,1,1459,16
Ivy Fire,Riverside,80,2019,8/25/2019,8/25/2019,8,0,7009,32
Nelson Fire,Butte,80,2019,10/24/2019,10/24/2019,10,0,1033,9
Meadow Fire,Riverside,81,2019,7/17/2019,7/16/2019,7,1,7009,32
Milpas Fire,San Bernardino,81,2019,07/25/2019,7/22/2019,7,3,634,7
Timm Fire,Solano,81,2019,8/13/2019,8/13/2019,8,0,458,5
Tree Fire,Siskiyou,83,2019,08/01/2019,7/27/2019,7,5,2557,9
Tulloch Fire,Tuolumne,83,2019,9/24/2019,9/23/2019,9,1,104,2
Browns Fire,Sacramento,84,2019,8/2/2019,8/2/2019,8,0,134,2
Country Fire,El Dorado,85,2019,9/6/2019,9/3/2019,9,3,3606,6
Trinity Fire,Shasta,90,2019,6/26/2019,6/26/2019,6,0,1040,9
Whiskey Fire,San Joaquin,90,2019,07/18/2019,7/16/2019,7,2,417,3
Bar Fire,Siskiyou,91,2019,10/02/2019,9/15/2019,9,17,2557,9
Wendy Fire,Ventura,91,2019,10/14/2019,10/10/2019,10,4,13075,6
Toro Fire,Riverside,94,2019,8/6/2019,8/5/2019,8,1,7009,32
Thompson Fire,San Luis Obispo,95,2019,07/25/2019,7/24/2019,7,1,5489,10
Orange fire,Riverside,96,2019,7/13/2019,7/13/2019,7,0,7009,32
Sawday Fire,San Diego,97,2019,10/28/2019,10/25/2019,10,3,1459,16
Kennedy Fire,Riverside,98,2019,9/22/2019,9/21/2019,9,1,7009,32
Border Fire,San Diego,100,2019,7/15/2019,7/12/2019,7,3,1459,16
Range Fire,Santa Barbara,100,2019,8/5/2019,7/28/2019,7,8,3846,4
Meadow Fire (Not a CAL FIRE incident),Modoc,103,2019,8/2/2019,8/2/2019,8,0,20185,4
3-2 Willow (Previously H-1 Fire),Lassen,107,2019,10/02/2019,8/7/2019,8,56,7977,10
Woody Fire,Kern,115,2019,5/8/2019,4/30/2019,4,8,3472,6
Bitter Fire,San Luis Obispo,120,2019,6/11/2019,6/10/2019,6,1,5489,10
Weisgarber Fire,San Diego,120,2019,6/21/2019,6/20/2019,6,1,1459,16
Hill Fire,Fresno,121,2019,6/5/2019,5/29/2019,5,7,283,3
Goose 2 Fire,Modoc,128,2019,7/20/2019,7/17/2019,7,3,20185,4
Reservoir Fire,Santa Clara,128,2019,9/24/2019,9/21/2019,9,3,859,11
Shady Fire,Riverside,130,2019,5/24/2019,5/18/2019,5,6,7009,32
Usal Fire,Mendocino,130,2019,NA,7/27/2019,7,NA,1068,4
R-1 Fire,Lassen,130,2019,09/26/2019,8/7/2019,8,50,7977,10
South Fire,Ventura,131,2019,7/15/2019,7/14/2019,7,1,13075,6
Horse Fire,Lassen,131,2019,8/27/2019,8/24/2019,8,3,7977,10
Mud Fire,Fresno,137,2019,10/19/2019,10/18/2019,10,1,283,3
Patterson Fire,Alameda,139,2019,8/21/2019,8/21/2019,8,0,533,9
Glencove Fire,Solano,140,2019,10/28/2019,10/27/2019,10,1,458,5
Canyon Fire,Santa Clara,144,2019,6/11/2019,5/30/2019,5,12,859,11
Old Water Fire,San Bernardino,145,2019,11/01/2019,10/24/2019,10,8,634,7
Dyer Fire,Placer,148,2019,6/27/2019,6/26/2019,6,1,1188,5
Valley Fire,Mariposa,149,2019,07/25/2019,7/21/2019,7,4,7689,5
Dehesa Fire,San Diego,150,2019,08/02/2019,7/28/2019,7,5,1459,16
Sky Fire,Contra Costa,150,2019,10/28/2019,10/27/2019,10,1,900,9
Spruce Fire,Tulare,155,2019,6/11/2019,6/1/2019,6,10,1654,7
Star Fire,San Bernardino,156,2019,08/01/2019,7/28/2019,7,4,634,7
Five Fire,Los Angeles,156,2019,8/5/2019,8/3/2019,8,2,15932,6
Cottage Fire,Shasta,156,2019,8/17/2019,8/15/2019,8,2,1040,9
York Fire,Kings,161,2019,6/24/2019,4/28/2019,4,57,161,1
Antelope Fire,San Benito,167,2019,9/3/2019,9/2/2019,9,1,184,2
Bautista Fire,Riverside,167,2019,9/22/2019,9/15/2019,9,7,7009,32
Vulcan Fire,Kern,172,2019,5/8/2019,5/3/2019,5,5,3472,6
Marshview Fire,Solano,183,2019,08/02/2019,7/24/2019,7,9,458,5
Sargent Fire,Monterey,190,2019,7/10/2019,7/9/2019,7,1,3720,7
Stuhr Fire,Stanislaus,190,2019,09/11/2019,9/11/2019,9,0,3457,7
Doyle Fire,Lassen,193,2019,7/16/2019,7/14/2019,7,2,7977,10
McMurray Fire,Santa Barbara,200,2019,9/14/2019,9/9/2019,9,5,3846,4
Dehesa Fire,San Diego,200,2019,10/02/2019,9/24/2019,9,8,1459,16
Olivas Fire,Ventura,200,2019,10/12/2019,10/11/2019,10,1,13075,6
Cypress Complex,Contra Costa,200,2019,10/28/2019,10/27/2019,10,1,900,9
Hillside Fire,San Bernardino,200,2019,11/5/2019,10/31/2019,10,5,634,7
Milton Fire,Stanislaus,202,2019,7/16/2019,7/15/2019,7,1,3457,7
Lumgrey Fire,Siskiyou,207,2019,6/24/2019,6/17/2019,6,7,2557,9
Tejon Fire,Kern,208,2019,07/25/2019,7/21/2019,7,4,3472,6
Malech Fire,Santa Clara,210,2019,6/11/2019,6/9/2019,6,2,859,11
Merced Fire,Merced,210,2019,7/2/2019,6/29/2019,6,3,210,1
Madera Fire,Madera,213,2019,7/16/2019,7/15/2019,7,1,213,1
Wolf Fire,Riverside,214,2019,6/30/2019,6/29/2019,6,1,7009,32
Lopez Fire,San Luis Obispo,220,2019,9/27/2019,9/21/2019,9,6,5489,10
Moose Fire,Mendocino,225,2019,8/17/2019,8/12/2019,8,5,1068,4
Kidder 2 Fire,Siskiyou,227,2019,9/26/2019,9/7/2019,9,19,2557,9
Harte Fire,Alameda,240,2019,08/12/2019,8/9/2019,8,3,533,9
Lake Fire,Mariposa,244,2019,07/15/2019,7/8/2019,7,7,7689,5
Henthorne Fire,Trinity,244,2019,9/18/2019,9/5/2019,9,13,524,2
Sycamore Fire,Riverside,250,2019,9/8/2019,9/7/2019,9,1,7009,32
Citrus Fire,Tulare,257,2019,6/11/2019,6/2/2019,6,9,1654,7
R-6 Fire,Lassen,260,2019,9/11/2019,9/6/2019,9,5,7977,10
Snowstorm Fire,Lassen,263,2019,7/6/2019,7/5/2019,7,1,7977,10
Snail Fire,Ventura,279,2019,9/5/2019,9/1/2019,9,4,13075,6
Mill Fire,Monterey,280,2019,8/12/2019,7/30/2019,7,13,3720,7
Rams Horn Fire,Trinity,280,2019,9/12/2019,9/7/2019,9,5,524,2
Hollow Fire,San Joaquin,283,2019,7/5/2019,7/3/2019,7,2,417,3
Cross Fire,Monterey,289,2019,10/11/2019,10/9/2019,10,2,3720,7
Cross Fire,San Luis Obispo,289,2019,10/11/2019,10/9/2019,10,2,5489,10
Hwy Fire,Butte,300,2019,9/28/2019,9/28/2019,9,0,1033,9
Lake Fire,Monterey,306,2019,NA,7/29/2019,7,NA,3720,7
Foothills Fire,Placer,308,2019,NA,11/25/2019,11,NA,1188,5
46 Fire,Riverside,328,2019,11/3/2019,10/31/2019,10,3,7009,32
Marsh Complex,Contra Costa,340,2019,8/6/2019,8/3/2019,8,3,900,9
Reche Fire,Riverside,350,2019,10/13/2019,10/10/2019,10,3,7009,32
Broder Fire,Tulare,381,2019,09/26/2019,9/6/2019,9,20,1654,7
Real Fire,Santa Barbara,420,2019,10/21/2019,10/17/2019,10,4,3846,4
Hunter Fire,Mariposa,433,2019,NA,8/15/2019,8,NA,7689,5
Mesa Fire,Kern,448,2019,08/05/2019,7/31/2019,7,5,3472,6
Caliente Fire,San Diego,448,2019,8/3/2019,8/1/2019,8,2,1459,16
Swedes Fire,Butte,496,2019,9/13/2019,9/7/2019,9,6,1033,9
Jerry Fire,Riverside,500,2019,6/24/2019,6/21/2019,6,3,7009,32
Horseshoe Fire,Riverside,503,2019,NA,9/14/2019,9,NA,7009,32
American Fire,Napa,526,2019,10/7/2019,10/6/2019,10,1,640,3
Stuhr Fire,Stanislaus,581,2019,6/11/2019,6/7/2019,6,4,3457,7
Mountain Fire,Shasta,600,2019,8/26/2019,8/22/2019,8,4,1040,9
Rawson Fire,Tehama,605,2019,10/28/2019,10/27/2019,10,1,17505,9
Hill Fire,Riverside,628,2019,11/2/2019,10/31/2019,10,2,7009,32
Baseline Fire,Placer,640,2019,NA,9/20/2019,9,NA,1188,5
Burris Fire,Mendocino,703,2019,11/3/2019,10/27/2019,10,7,1068,4
Getty Fire,Los Angeles,745,2019,11/5/2019,10/28/2019,10,8,15932,6
Creek Fire,Tulare,756,2019,09/04/2019,8/31/2019,8,4,1654,7
Belmont Fire,San Luis Obispo,835,2019,6/3/2019,5/29/2019,5,5,5489,10
Gillis Fire,San Luis Obispo,1010,2019,7/9/2019,7/8/2019,7,1,5489,10
Sandalwood Fire,Riverside,1011,2019,11/01/2019,10/10/2019,10,22,7009,32
W1 McDonald Fire,Lassen,1020,2019,8/11/2019,8/8/2019,8,3,7977,10
Boulder Fire,San Luis Obispo,1075,2019,6/11/2019,6/5/2019,6,6,5489,10
Jasper Fire,State of Nevada,1165,2019,7/16/2019,7/13/2019,7,3,1165,1
Gaines Fire,Mariposa,1300,2019,08/20/2019,8/16/2019,8,4,7689,5
Ward Fire,State of Oregon,1301,2019,8/18/2019,8/9/2019,8,9,1301,1
West Butte Fire,Sutter,1350,2019,6/17/2019,6/8/2019,6,9,1350,1
Border 8 Fire,Mexico,1507,2019,8/17/2019,8/16/2019,8,1,1532,2
West Fire,Los Angeles,1575,2019,NA,8/13/2019,8,NA,15932,6
McMillan Fire,San Luis Obispo,1763,2019,6/24/2019,6/12/2019,6,12,5489,10
Lime Fire,Siskiyou,1872,2019,10/24/2019,9/7/2019,9,47,2557,9
Tenaja,Riverside,1926,2019,9/14/2019,9/4/2019,9,10,7009,32
Cow Fire,Inyo,1975,2019,10/11/2019,9/6/2019,9,35,12271,2
Sand Fire,Yolo,2220,2019,6/17/2019,6/8/2019,6,9,2253,2
Easy Fire,Ventura,2375,2019,11/2/2019,10/30/2019,10,3,13075,6
Rock Fire,Stanislaus,2420,2019,6/27/2019,6/25/2019,6,2,3457,7
Long Valley Fire,Lassen,2438,2019,8/27/2019,8/24/2019,8,3,7977,10
Refuge Fire,Kern,2500,2019,5/9/2019,5/7/2019,5,2,3472,6
Ranch Fire,Tehama,2534,2019,11/14/2019,11/3/2019,11,11,17505,9
Lonoak Fire,Monterey,2546,2019,6/26/2019,6/25/2019,6,1,3720,7
Cave Fire,Santa Barbara,3126,2019,12/14/2019,11/25/2019,11,19,3846,4
R-1 Fire,Lassen,3380,2019,9/4/2019,8/28/2019,8,7,7977,10
Caples Fire,El Dorado,3435,2019,11/01/2019,10/11/2019,10,21,3606,6
Tick Fire,Los Angeles,4615,2019,10/31/2019,10/24/2019,10,7,15932,6
Springs Fire,Mono,4840,2019,10/24/2019,9/6/2019,9,48,4840,1
South Fire,Tehama,5332,2019,10/11/2019,9/5/2019,9,36,17505,9
Briceburg Fire,Mariposa,5563,2019,10/24/2019,10/6/2019,10,18,7689,5
Lone Fire,Modoc,5737,2019,9/13/2019,9/6/2019,9,7,20185,4
Saddle Ridge Fire,Los Angeles,8799,2019,10/31/2019,10/10/2019,10,21,15932,6
Red Bank Fire,Tehama,8836,2019,9/13/2019,9/5/2019,9,8,17505,9
Maria Fire,Ventura,9999,2019,11/6/2019,10/31/2019,10,6,13075,6
Taboose Fire,Inyo,10296,2019,11/21/2019,9/6/2019,9,76,12271,2
Tucker Fire,Modoc,14217,2019,8/11/2019,7/28/2019,7,14,20185,4
Walker Fire,Plumas,54612,2019,10/24/2019,9/4/2019,9,50,54612,1
Kincade Fire,Sonoma,77758,2019,11/6/2019,10/23/2019,10,14,77758,1
Elliot Fire,Riverside,2,2020,7/13/2020,7/13/2020,7,0,67558,26
Olinda Fire,Shasta,5,2020,10/25/2020,10/25/2020,10,0,57099,6
Ferry Fire,Butte,6,2020,10/22/2020,10/22/2020,10,0,529,9
Perry Fire,Placer,9,2020,08/26/2020,8/26/2020,8,0,933,6
Nash Fire,Mendocino,10,2020,06/01/2020,6/1/2020,6,0,1035213,9
Dawson Fire,Riverside,10,2020,6/13/2020,6/13/2020,6,0,67558,26
Quarter Fire,Tuolumne,10,2020,7/7/2020,6/21/2020,6,16,2867,2
Tripp Fire,Riverside,10,2020,7/9/2020,7/9/2020,7,0,67558,26
East Fire,Modoc,11,2020,06/21/2020,6/20/2020,6,1,83321,3
58 Fire,Riverside,12,2020,6/27/2020,6/24/2020,6,3,67558,26
Muck Fire,Lassen,12,2020,6/29/2020,6/29/2020,6,0,40815,11
Teddy Fire,Butte,13,2020,6/18/2020,6/18/2020,6,0,529,9
Catholic Fire,Lake,13,2020,9/2/2020,9/1/2020,9,1,1395881,3
Murphy Fire,El Dorado,14,2020,8/19/2020,8/17/2020,8,2,126,5
Bear Fire,Humboldt,15,2020,02/16/2020,2/15/2020,2,1,1032890,5
Brock Fire,Shasta,15,2020,6/4/2020,6/4/2020,6,0,57099,6
River Fire,San Luis Obispo,15,2020,6/23/2020,6/22/2020,6,1,14319,16
Cameron Fire,El Dorado,15,2020,10/21/2020,10/18/2020,10,3,126,5
Candy Fire,Butte,17,2020,5/8/2020,5/8/2020,5,0,529,9
Riata Fire,San Luis Obispo,18,2020,6/17/2020,6/16/2020,6,1,14319,16
Silver Fire,Santa Clara,19,2020,06/04/2020,6/4/2020,6,0,402809,7
Sycamore Fire,Fresno,19,2020,6/26/2020,6/23/2020,6,3,414081,8
South Main Fire,Riverside,20,2020,03/09/2020,3/6/2020,3,3,67558,26
Gilman Fire,Riverside,20,2020,5/18/2020,5/18/2020,5,0,67558,26
Spanish Fire,Napa,20,2020,5/23/2020,5/22/2020,5,1,430785,4
Oak Fire,Riverside,20,2020,6/8/2020,6/8/2020,6,0,67558,26
3-2 Fire,San Luis Obispo,20,2020,8/17/2020,8/16/2020,8,1,14319,16
Pony Fire,Sacramento,20,2020,10/4/2020,10/3/2020,10,1,6366,5
Lambert Fire,Amador,21,2020,10/6/2020,10/4/2020,10,2,69,2
Diamond Fire,Calaveras,21,2020,10/15/2020,10/13/2020,10,2,3314,4
Thomas Fire,Lassen,24,2020,12/3/2020,12/3/2020,12,0,40815,11
Nail Fire,Colusa,25,2020,7/9/2020,7/7/2020,7,2,1033371,4
Lincoln Fire,Humboldt,25,2020,7/31/2020,7/27/2020,7,4,1032890,5
Red Fire,Tehama,26,2020,4/24/2020,4/23/2020,4,1,1109723,8
Grand Fire,Riverside,27,2020,6/9/2020,6/8/2020,6,1,67558,26
Cronan Fire,El Dorado,29,2020,06/10/2020,6/9/2020,6,1,126,5
Feather Fire,Butte,30,2020,7/21/2020,7/20/2020,7,1,529,9
Irvine Fire,Contra Costa,30,2020,10/12/2020,10/11/2020,10,1,397234,7
Alum Fire,Santa Clara,31,2020,7/11/2020,7/11/2020,7,0,402809,7
Brandon Fire,El Dorado,32,2020,07/08/2020,7/7/2020,7,1,126,5
Gage Fire,San Luis Obispo,33,2020,6/28/2020,6/28/2020,6,0,14319,16
Robinson Fire,Butte,33,2020,7/15/2020,7/13/2020,7,2,529,9
Hopland Fire,Mendocino,34,2020,6/14/2020,6/13/2020,6,1,1035213,9
Sophia Fire,El Dorado,36,2020,8/2/2020,8/2/2020,8,0,126,5
Horn Fire,Lassen,37,2020,6/2/2020,6/2/2020,6,0,40815,11
Karchner Fire,Placer,39,2020,6/5/2020,6/5/2020,6,0,933,6
Watt Fire,Placer,40,2020,6/11/2020,6/11/2020,6,0,933,6
Volcano Fire,San Diego,45,2020,8/22/2020,8/20/2020,8,2,17825,6
Sperry Fire,Stanislaus,45,2020,9/9/2020,9/8/2020,9,1,396951,4
Schoolhouse Fire,Siskiyou,45,2020,9/17/2020,9/9/2020,9,8,86101,5
Byron Fire,Contra Costa,47,2020,4/27/2020,4/27/2020,4,0,397234,7
Ben Fire,Mariposa,48,2020,7/18/2020,7/15/2020,7,3,324,3
Copper Fire,Amador,48,2020,10/3/2020,9/30/2020,9,3,69,2
257 Fire,Modoc,49,2020,11/17/2020,11/17/2020,11,0,83321,3
Shackleford Fire,Siskiyou,50,2020,9/21/2020,9/11/2020,9,10,86101,5
Ione Fire,Sacramento,51,2020,7/26/2020,7/26/2020,7,0,6366,5
Stage Fire,Monterey,52,2020,6/22/2020,6/21/2020,6,1,56108,8
Water Fire,Riverside,52,2020,8/4/2020,8/2/2020,8,2,67558,26
Placer Fire,San Luis Obispo,53,2020,11/10/2020,8/25/2020,8,77,14319,16
Bar Fire,Trinity,55,2020,05/01/2020,4/25/2020,4,6,1032765,3
Flint Fire,Calaveras,55,2020,8/19/2020,8/19/2020,8,0,3314,4
Fields Fire,Yuba,56,2020,10/7/2020,10/7/2020,10,0,2467,4
Wood Fire,Lassen,57,2020,2/23/2020,2/23/2020,2,0,40815,11
Indian Fire,Riverside,59,2020,06/28/2020,6/26/2020,6,2,67558,26
Harley Fire,Riverside,60,2020,5/28/2020,5/28/2020,5,0,67558,26
Creek Fire,Contra Costa,60,2020,05/30/2020,5/30/2020,5,0,397234,7
Pope Fire,Napa,61,2020,10/25/2020,10/23/2020,10,2,430785,4
Flat Fire,Trinity,62,2020,7/24/2020,6/30/2020,6,24,1032765,3
Mount R Fire,San Bernardino,62,2020,7/6/2020,7/3/2020,7,3,23501,7
3-19 Fire,Mendocino,62,2020,8/21/2020,8/18/2020,8,3,1035213,9
Duluth Fire,Placer,65,2020,8/11/2020,8/10/2020,8,1,933,6
Kings Fire,Fresno,67,2020,07/07/2020,7/5/2020,7,2,414081,8
Gyle Fire,Tehama,68,2020,06/17/2020,6/17/2020,6,0,1109723,8
Easton Fire,San Bernardino,71,2020,7/21/2020,7/20/2020,7,1,23501,7
Beegum Fire,Tehama,75,2020,2/24/2020,2/23/2020,2,1,1109723,8
Mountain Meadow Fire,Solano,75,2020,7/9/2020,7/6/2020,7,3,365511,5
Holland Fire,Contra Costa,75,2020,7/20/2020,7/20/2020,7,0,397234,7
McGary Fire,Solano,79,2020,6/5/2020,6/5/2020,6,0,365511,5
Sperry Fire,Stanislaus,80,2020,6/8/2020,6/8/2020,6,0,396951,4
Ridge Fire,Monterey,83,2020,6/22/2020,6/17/2020,6,5,56108,8
Hunters Fire,Mariposa,85,2020,6/10/2020,6/7/2020,6,3,324,3
Liberty Fire,San Joaquin,89,2020,6/18/2020,6/17/2020,6,1,396863,3
Honcut Fire,Butte,89,2020,6/20/2020,6/20/2020,6,0,529,9
Border 7 Fire,San Diego,90,2020,6/13/2020,6/11/2020,6,2,17825,6
Casino Fire,Riverside,91,2020,7/15/2020,7/13/2020,7,2,67558,26
Nelson Fire,Butte,95,2020,6/17/2020,6/17/2020,6,0,529,9
Willow Fire,Contra Costa,100,2020,6/7/2020,6/6/2020,6,1,397234,7
Sierra Fire,Riverside,100,2020,6/9/2020,6/8/2020,6,1,67558,26
Skyline Fire,San Diego,100,2020,6/14/2020,6/11/2020,6,3,17825,6
Cotton Fire,Merced,100,2020,07/05/2020,7/5/2020,7,0,3080,3
Milepost 21 Fire,Humboldt,100,2020,8/18/2020,7/20/2020,7,29,1032890,5
